gil,command,mean_cycles,median_cycles,min_cycles,max_cycles,mean_instructions,median_instructions,min_instructions,max_instructions,mean_task_clock,median_task_clock,min_task_clock,max_task_clock,mean_time_elapsed,median_time_elapsed,min_time_elapsed,max_time_elapsed,mean_user_time,median_user_time,min_user_time,max_user_time,mean_sys_time,median_sys_time,min_sys_time,max_sys_time
PYTHON_GIL=1,python3.13 ./src/0_plain/itertools.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,1118949258.966666698,1118974258.000000000,1101442625.000000000,1142470572.000000000,3409289298.733333111,3404970000.000000000,3396740945.000000000,3424024612.000000000,263.100000000,262.750000000,256.430000000,276.440000000,0.246642667,0.246345000,0.241201826,0.257774578,0.263488333,0.263120000,0.256794000,0.276845000,0.000000000,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/lib.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,74792659.066666663,74577100.000000000,73098407.000000000,78953888.000000000,113594814.433333337,113567901.000000000,113392294.000000000,113883258.000000000,19.272333333,19.000000000,18.290000000,21.570000000,0.018274800,0.017964900,0.017303814,0.020890497,0.019015600,0.019315500,0.000000000,0.022368000,0.000621033,0.000000000
PYTHON_GIL=1,python3.13 ./src/0_plain/plain.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,1117738600.066666603,1113430000.000000000,1091021268.000000000,1152516046.000000000,3401413537.733333111,3406398770.000000000,3388058345.000000000,3414985545.000000000,269.486666667,268.915000000,261.070000000,284.450000000,0.252213333,0.252160000,0.244767946,0.265311394,0.269860667,0.269370000,0.261367000,0.284752000,0.000000000,0.000000000
PYTHON_GIL=1,python3.13 ./src/1_multiprocessing/imap_unordered.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,1574796498.766666651,1564970000.000000000,1509049749.000000000,1668652370.000000000,1000812549.500000000,984874300.000000000,950227113.000000000,1188785370.000000000,1366.063333333,1398.340000000,1199.560000000,1641.210000000,0.785843333,0.799033000,0.675823839,0.930039782,0.535063333,0.524014000,0.200640000,0.879564000,1.000993333,0.952616000
PYTHON_GIL=1,python3.13 ./src/1_multiprocessing/imap.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,1559674164.233333349,1546360000.000000000,1502004598.000000000,1857232414.000000000,1064375880.399999976,988188000.000000000,964223533.000000000,1852512551.000000000,1393.706666667,1412.330000000,1010.950000000,1492.560000000,0.809530000,0.811334000,0.557076255,0.931920696,0.602973333,0.609398000,0.304120000,1.136837000,0.962683333,0.969596000
PYTHON_GIL=1,python3.13 ./src/1_multiprocessing/map_async.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,1925914606.566666603,1919578454.000000000,1810788257.000000000,2108111388.000000000,3291967459.833333492,3273120000.000000000,3231843317.000000000,3617307394.000000000,754.613333333,735.150000000,642.850000000,951.190000000,0.221100667,0.214391000,0.193973407,0.269712223,0.680590000,0.686443000,0.425584000,0.958099000,0.080850667,0.070648500
PYTHON_GIL=1,python3.13 ./src/1_multiprocessing/map.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,1920269267.466666698,1923532244.000000000,1802074651.000000000,2076541996.000000000,3292164934.233333111,3276120000.000000000,3243586340.000000000,3697499236.000000000,737.860000000,738.705000000,699.170000000,771.220000000,0.218273333,0.217623000,0.204502462,0.263980593,0.637850000,0.670091000,0.338627000,0.778233000,0.107078667,0.071555000
PYTHON_GIL=1,python3.13 ./src/2_multithreading/executor.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,646559858.766666651,647453000.000000000,618736816.000000000,674228621.000000000,1691357238.400000095,1691580000.000000000,1688847126.000000000,1693078371.000000000,179.073333333,179.015000000,160.750000000,197.760000000,0.172219667,0.172311000,0.155723952,0.187774236,0.144241000,0.152690000,0.066638000,0.179515000,0.008434867,0.000000000
PYTHON_GIL=0,python3.13-nogil ./src/2_multithreading/executor.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,2084515025.599999905,2066410266.000000000,1842100323.000000000,2388325344.000000000,2520131380.933333397,2516490000.000000000,2510058971.000000000,2550033722.000000000,725.416666667,700.620000000,594.980000000,906.160000000,0.174482000,0.171910000,0.145717779,0.222847950,0.689340000,0.670969000,0.523146000,0.896002000,0.025064900,0.000000000
PYTHON_GIL=1,python3.13 ./src/2_multithreading/workers.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,249012480.466666669,258759286.000000000,109516912.000000000,355129031.000000000,699650369.399999976,736848000.000000000,207083318.000000000,1103371993.000000000,75.654666667,78.350000000,40.010000000,104.230000000,0.073516000,0.076220500,0.040378669,0.100628360,0.056508000,0.073869500,0.000000000,0.098403000,0.017655533,0.000000000
PYTHON_GIL=0,python3.13-nogil ./src/2_multithreading/workers.py 7e240de74fb1ed08fa08d38063f6a6a91462a815,116303666.666666672,115462000.000000000,112981021.000000000,122136476.000000000,169576451.033333331,168976000.000000000,166201430.000000000,175232868.000000000,39.539000000,39.085000000,36.560000000,47.360000000,0.035066667,0.032272100,0.030134365,0.113743480,0.036523333,0.039094500,0.000000000,0.047929000,0.003618967,0.000000000
PYTHON_GIL=1,python3.13 ./src/3_ctypes/invoke_hashcat.py ./src/3_ctypes/libhashcat.so 7e240de74fb1ed08fa08d38063f6a6a91462a815,58458126.200000003,58339463.000000000,57308266.000000000,59855046.000000000,110296558.700000003,110307000.000000000,110122808.000000000,110533220.000000000,16.069666667,16.055000000,15.650000000,16.970000000,0.015396467,0.015385600,0.014999825,0.016181120,0.016448667,0.016432000,0.015985000,0.017355000,0.000000000,0.000000000
PYTHON_GIL=1,python3.13 ./src/3_ctypes/invoke_hashcat.py ./src/3_ctypes/libhashcat_openmp.so 7e240de74fb1ed08fa08d38063f6a6a91462a815,109553883.200000003,106722000.000000000,101692018.000000000,158980985.000000000,70277251.666666672,70172417.000000000,69782307.000000000,72412133.000000000,32.163000000,31.085000000,29.150000000,43.580000000,0.014784933,0.014446500,0.013020534,0.025021661,0.017075500,0.016621500,0.014848000,0.027109000,0.000000000,0.000000000
PYTHON_GIL=1,python3.13 ./src/4_cpython/invoke_hashcat.py ./src/3_ctypes/libhashcat_openmp.so 7e240de74fb1ed08fa08d38063f6a6a91462a815,54450213.500000000,53315772.000000000,52026276.000000000,82186833.000000000,102907132.333333328,102906000.000000000,102741647.000000000,103105237.000000000,14.401666667,14.155000000,13.330000000,21.160000000,0.013845767,0.013594500,0.012787664,0.020248626,0.014270367,0.014414000,0.000000000,0.021634000,0.000496400,0.000000000
